trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,polygon.started,target.started,mouse.started,target_2.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,3,28.390497,28.390497,0.2285076,28.390497,[0.10677083333333333],[-0.4518229166666667],[1],[0],[0],[8.433521599974483],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
1,0,1,0,3,36.7491025,36.7491025,0.0474567,36.7491025,[0.21614583333333334],[0.11067708333333333],[1],[0],[0],[12.160370599944144],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
2,0,2,0,5,48.9552146,48.9552146,0.0601578,48.9552146,[-0.22786458333333334],[-0.3125],[1],[0],[0],[2.9638926999177784],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
3,0,3,0,5,51.9272657,51.9272657,0.044586,51.9272657,[0.057291666666666664],[-0.18880208333333334],[1],[0],[0],[4.067876799963415],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
4,0,4,0,3,56.0689085,56.0689085,0.0779154,56.0689085,[0.14713541666666666],[-0.3658854166666667],[0],[0],[1],[4.329013100010343],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
5,0,5,0,5,60.3813005,60.3813005,0.0519767,60.3813005,[-0.3059895833333333],[-0.06901041666666667],[1],[0],[0],[2.167221000068821],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
6,0,6,0,5,62.5664567,62.5664567,0.0516277,62.5664567,[0.052083333333333336],[-0.14713541666666666],[1],[0],[0],[5.41208389995154],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
7,0,7,0,5,68.0029135,68.0029135,0.0534017,68.0029135,[-0.30078125],[-0.15234375],[1],[0],[0],[4.723656399990432],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
8,0,8,0,5,72.7405092,72.7405092,0.0450456,72.7405092,[0.10546875],[0.4817708333333333],[1],[0],[0],[2.1183224000269547],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
9,0,9,0,5,74.8962777,74.8962777,0.0637583,74.8962777,[-0.359375],[0.33203125],[1],[0],[0],[1.7845544998999685],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
10,0,10,0,5,76.7058624,76.7058624,0.0588289,76.7058624,[0.4036458333333333],[-0.3697916666666667],[1],[0],[0],[2.8910736000398174],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
11,0,11,0,5,79.6150872,79.6150872,0.0498405,79.6150872,[-0.23697916666666666],[-0.3046875],[1],[0],[0],[4.88714559993241],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
12,0,12,0,3,84.5260967,84.5260967,0.0530487,84.5260967,[0.45703125],[0.45703125],[0],[0],[0],[4.086350900004618],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
13,0,13,0,5,88.6494011,88.6494011,0.0651903,88.6494011,[-0.22135416666666666],[-0.059895833333333336],[1],[0],[0],[6.2035966999828815],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
14,0,14,0,3,94.852184,94.852184,0.0444204,94.852184,[-0.4661458333333333],[0.3723958333333333],[1],[0],[0],[5.523717700038105],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
15,0,15,0,3,100.4035708,100.4035708,0.0465487,100.4035708,[-0.36328125],[0.46875],[1],[0],[0],[9.949088199995458],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
16,0,16,0,3,110.3706222,110.3706222,0.0451984,110.3706222,[0.44140625],[-0.018229166666666668],[1],[0],[0],[6.78539170010481],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
17,0,17,0,5,117.1890609,117.1890609,0.0527975,117.1890609,[0.328125],[-0.14973958333333334],[1],[0],[0],[9.290833300095983],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
18,0,18,0,3,126.496702,126.496702,0.0444003,126.496702,[-0.3138020833333333],[0.43359375],[1],[0],[0],[7.484198399935849],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
19,0,19,0,3,134.0097784,134.0097784,0.0468512,134.0097784,[-0.0013020833333333333],[-0.3541666666666667],[1],[0],[0],[11.78620289999526],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
20,0,20,0,5,145.8213094,145.8213094,0.0441575,145.8213094,[-0.09765625],[0.47265625],[1],[0],[0],[7.779745300067589],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
21,0,21,0,3,153.6845847,153.6845847,0.0722848,153.6845847,[0.11067708333333333],[0.18229166666666666],[1],[0],[0],[3.433104300056584],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
22,0,22,0,5,157.1426918,157.1426918,0.0607406,157.1426918,[0.23307291666666666],[-0.3411458333333333],[1],[0],[0],[2.189297000062652],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
23,0,23,0,3,159.349517,159.349517,0.0719012,159.349517,[0.07291666666666667],[-0.3502604166666667],[1],[0],[0],[2.264117300044745],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
24,0,24,0,5,161.6317181,161.6317181,0.0682547,161.6317181,[-0.3151041666666667],[-0.4166666666666667],[1],[0],[0],[10.082315900013782],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
25,0,25,0,5,171.709413,171.709413,0.0524612,171.709413,[-0.39453125],[-0.40234375],[1],[0],[0],[2.2453879999229684],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
26,0,26,0,3,174.0420243,174.0420243,0.1121692,174.0420243,[-0.296875],[-0.13541666666666666],[0],[0],[1],[2.82278619997669],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
27,0,27,0,5,176.8746515,176.8746515,0.0467481,176.8746515,[-0.3125],[-0.4700520833333333],[1],[0],[0],[2.57898180000484],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
28,0,28,0,3,179.4728129,179.4728129,0.0471238,179.4728129,[0.17578125],[-0.34765625],[1],[0],[0],[13.68031530000735],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
29,0,29,0,5,193.2512077,193.2512077,0.1141496,193.2512077,[-0.01953125],[-0.39453125],[1],[0],[0],[3.3032545999158174],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
30,0,30,0,5,196.6157851,196.6157851,0.0937441,196.6157851,[0.20703125],[-0.044270833333333336],[1],[0],[0],[4.130291800014675],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
31,0,31,0,3,200.7118678,200.7118678,0.0353986,200.7118678,[0.3125],[0.07682291666666667],[1],[0],[0],[2.503393999999389],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
32,0,32,0,5,203.2884896,203.2884896,0.0855642,203.2884896,[-0.3919270833333333],[-0.2552083333333333],[1],[0],[0],[5.644575299927965],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
33,0,33,0,3,208.9141172,208.9141172,0.0483528,208.9141172,[-0.4388020833333333],[0.3828125],[1],[0],[0],[14.772802200051956],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
34,0,34,0,5,223.7473278,223.7473278,0.0449629,223.7473278,[0.4270833333333333],[0.2721354166666667],[1],[0],[0],[8.233199100010097],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
35,0,35,0,3,232.0534067,232.0534067,0.1395817,232.0534067,[-0.3125],[0.2265625],[1],[0],[0],[5.77934979996644],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
36,0,36,0,3,237.8189353,237.8189353,0.1109383,237.8189353,[-0.12630208333333334],[-0.1171875],[1],[0],[0],[21.535291999927722],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
37,0,37,0,5,259.3206547,259.3206547,0.0526783,259.3206547,[0.2526041666666667],[0.17057291666666666],[1],[0],[0],[8.805583500070497],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
38,0,38,0,3,268.1390965,268.1390965,0.0385804,268.1390965,[0.036458333333333336],[0.37109375],[1],[0],[0],[2.9522696000058204],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
39,0,39,0,5,271.1836418,271.1836418,0.1033014,271.1836418,[0.4309895833333333],[0.3880208333333333],[1],[0],[0],[3.379307599971071],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
40,0,40,0,3,274.5733845,274.5733845,0.0515637,274.5733845,[0.4596354166666667],[-0.20963541666666666],[1],[0],[0],[13.586648800061084],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
41,0,41,0,3,288.2013207,288.2013207,0.0564822,288.2013207,[-0.3763020833333333],[-0.0859375],[1],[0],[0],[18.811642199987546],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
42,0,42,0,5,307.028584,307.028584,0.0523127,307.028584,[0.3151041666666667],[-0.4765625],[1],[0],[0],[5.968968499917537],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
43,0,43,0,3,313.001224,313.001224,0.0375279,313.001224,[0.3151041666666667],[-0.4765625],[1],[0],[0],[0.4739360000239685],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
44,0,44,0,5,313.5101915,313.5101915,0.0540749,313.5101915,[-0.26953125],[-0.08072916666666667],[1],[0],[0],[6.227275300072506],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
45,0,45,0,3,319.7527488,319.7527488,0.0523557,319.7527488,[0.4440104166666667],[-0.2942708333333333],[1],[0],[0],[4.871077199932188],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
46,0,46,0,3,324.7434793,324.7434793,0.0449927,324.7434793,[0.44140625],[-0.2942708333333333],[1],[0],[0],[4.071031100000255],[],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
47,0,47,0,3,328.7720388,328.7720388,0.0804688,328.7720388,[-0.22916666666666666],[-0.19270833333333334],[1],[0],[0],[9.867737299995497],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
48,0,48,0,3,338.6435535,338.6435535,0.0519431,338.6435535,[-0.38671875],[0.11328125],[1],[0],[0],[4.270362799987197],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
49,0,49,0,5,342.9454343,342.9454343,0.0607154,342.9454343,[-0.41796875],[0.07942708333333333],[1],[0],[0],[1.7716002999804914],['target'],257383,1,2022-10-09_21h56.52.483,Group Project,2022.2.4,60.13420752
